code,system
5525231000006112,snomedct
57249012,snomedct
301625018,snomedct
5525221000006114,snomedct
2730071000006112,snomedct
218821000006118,snomedct
5525211000006118,snomedct
H500400,snomedct
H501200,snomedct
H501201,snomedct
301625018,snomedct
5525221000006114,snomedct
218821000006118,snomedct
2730071000006112,snomedct
5525231000006112,snomedct
57249012,snomedct
5525211000006118,snomedct
H500400,snomedct
H501200,snomedct
H501201,snomedct
12711015,snomedct
141587016,snomedct
H510B00,snomedct
H511200,snomedct
12711015,snomedct
141587016,snomedct
H510B00,snomedct
H511200,snomedct
301635012,snomedct
640711000006112,snomedct
H501300,snomedct
H50z.00,snomedct
640711000006112,snomedct
301635012,snomedct
H501300,snomedct
H50z.00,snomedct
301647018,snomedct
H510301,snomedct
H510300,snomedct
286225011,snomedct
24683016,snomedct
286230010,snomedct
83211000006113,snomedct
4741061000006117,snomedct
A120.00,snomedct
A120100,snomedct
A120z00,snomedct
A124600,snomedct
286225011,snomedct
24683016,snomedct
286230010,snomedct
83211000006113,snomedct
4741061000006117,snomedct
A124600,snomedct
A120.00,snomedct
A120100,snomedct
A120z00,snomedct
84488013,snomedct
H500300,snomedct
84488013,snomedct
H500300,snomedct
121449018,snomedct
J650.12,snomedct
121449018,snomedct
J650.12,snomedct
4782121000006111,snomedct
4782121000006111,snomedct
286214019,snomedct
4740991000006119,snomedct
A101.00,snomedct
4740991000006119,snomedct
286214019,snomedct
A101.00,snomedct
301661011,snomedct
141595017,snomedct
H511z00,snomedct
H511.00,snomedct
301661011,snomedct
141595017,snomedct
H511z00,snomedct
H511.00,snomedct
301651016,snomedct
H510600,snomedct
46467017,snomedct
H51y000,snomedct
46467017,snomedct
1231843013,snomedct
3048161000006111,snomedct
H51..01,snomedct
H501400,snomedct
H501401,snomedct
1231843013,snomedct
H501401,snomedct
H501400,snomedct
47025013,snomedct
H500101,snomedct
H500100,snomedct
47025013,snomedct
H500100,snomedct
H500101,snomedct
301626017,snomedct
640811000006115,snomedct
640801000006118,snomedct
406305010,snomedct
640771000006115,snomedct
H501.00,snomedct
H500z00,snomedct
H500.00,snomedct
640801000006118,snomedct
640811000006115,snomedct
301626017,snomedct
406305010,snomedct
640771000006115,snomedct
H501.00,snomedct
H500.00,snomedct
H500z00,snomedct
6320012,snomedct
39802016,snomedct
H511100,snomedct
H510A00,snomedct
39802016,snomedct
6320012,snomedct
H511100,snomedct
H510A00,snomedct
50946012,snomedct
H500000,snomedct
50946012,snomedct
H500000,snomedct
301650015,snomedct
H510500,snomedct
2990251000006110,snomedct
2990251000006110,snomedct
301669013,snomedct
H51z000,snomedct
22395010,snomedct
H510400,snomedct
3854981000006114,snomedct
3854981000006114,snomedct
2011541000006110,snomedct
2011551000006112,snomedct
40785018,snomedct
5407016,snomedct
H510900,snomedct
H511000,snomedct
H510901,snomedct
5407016,snomedct
40785018,snomedct
H510900,snomedct
H510901,snomedct
H511000,snomedct
128069014,snomedct
3754521000006119,snomedct
301670014,snomedct
H510700,snomedct
H51z100,snomedct
128069014,snomedct
3854971000006111,snomedct
3854971000006111,snomedct
3349791000006110,snomedct
8694011,snomedct
F530.12,snomedct
8694011,snomedct
3349791000006110,snomedct
F530.12,snomedct
301671013,snomedct
H51z200,snomedct
301652011,snomedct
H510800,snomedct
3451091000006115,snomedct
3451091000006115,snomedct